Acme Transit Suite - RideLog daily unit export
Units: ALL; Period: 2026-03-07..2026-11-01; Generated: 2026-11-02 04:00
RecType;Seq;UnitNo;LocalTime;Dir;Cnt;StopSeq
CNT;00001;1207;03/07/2026 08:15:00;B;2;1
CNT;00002;1207;03/07/2026 08:15:30;A;;1
HB;00003;1207;03/07/2026 08:16:00;;;
LOG;00004;1207;03/07/2026 08:17:00;;;
CNT;00005;1408;03/07/2026 09:00:00;B;twelve;2
CNT;00006;1408;03/07/2026 09:05:00;X;1;3
CNT;00007;1408;03/08/2026 02:30:00;B;1;4
CNT;00008;1408;11/01/2026 01:30:00;B;1;5
CNT;00009;;03/07/2026 09:10:00;B;1;6
CNT;00010;1501;03/07/2026 09:12:00;B;1;0
CNT;00011;1501;03/07/2026 09:15:00;B;'1;7
CNT;00012;1501;03/07/2026 09:16:00;A;1;8
